181 7	(A B C D E F G)
Acontista_multicolor	0100000
Acromantis_hesione	0000010
Acromantis_japonica	0010010
Amantis_nawai	0010010
Amantis_wuzhishana	0000010
Ambivia_parapopa	0000010
Ambivia_undata	0000010
Ameles_andreae	0010000
Ameles_assoi	0010000
Ameles_decolor	0010000
Ameles_dumonti	0010000
Ameles_picteti	0010000
Ameles_serpentiscauda	0010000
Ameles_spallanzania	0010000
Ameles_spallanzania2	0010000
Amorphoscelis_chinensis	0010000
Amorphoscelis_hainana	0000010
Amorphoscelis_sp.	0001010
Anaxarcha_graminea	0000010
Anaxarcha_sinensis	0010000
Anaxarcha_sp.	0010010
Anaxarcha_tianmushanensis	0010000
Anaxarcha_zhengi	0010000
Apteromantis_aptera	0010000
Arria_brevifrons	0010000
Arria_pallida	0010000
Arria_pallida_2	0010000
Arria_pura	0010000
Asiadodis_yunnanensis	0000010
Astyliasula_basinigra	0000010
Astyliasula_major	0000010
Blepharopsis_mendica	0010000
Bolivaria_brachyptera	0010000
Brunneria_borealis	1000000
Caliris_sp.	0000010
Callibia_diana	0100000
Camelomantis_moultoni	0000010
Carrikerella_sp.	0100000
Ceratocrania_macra	0000010
Ceratomantis_saussurii	0000010
Ceratomantis_yunnanensis	0010000
Cheddikulama_straminea	0000010
Chlidonoptera_lestoni	0001000
Cilnia_humeralis	0001000
Citharomantis_falcata	0000010
Creobroter_apicalis	0000010
Creobroter_elongata	0010000
Creobroter_gemmatus	0010010
Creobroter_jiangxiensis	0010010
Creobroter_sp.	0010010
Decimiana_sp.	0100000
Deroplatys_desiccata	0000010
Deroplatys_desiccata_2	0000010
Deroplatys_lobata	0000010
Deroplatys_truncata	0000010
Empusa_pennicornis	0010000
Eomantis_yunnanensis	0010010
Eremiaphila_sp.	0010000
Galinthias_amoena	0001000
Gongylus_gongylodes	0000010
Gonypeta_brunneri	0010000
Gonypeta_sp.	0000010
Haania_sp.	0000010
Haania_vitalisi	0000010
Hestiasula_hoffmanni	0000010
Hestiasula_sp.	0000010
Heterochaeta_sp.	0001000
Hierodula_chinensis	0010010
Hierodula_formosana	0010010
Hierodula_latipennis	0000010
Hierodula_longa	0010010
Hierodula_maculata	0010000
Hierodula_majuscula	0000001
Hierodula_membranacea	0000010
Hierodula_multispina	0010011
Hierodula_patellifera	0010011
Hierodula_sp.	0010011
Hierodula_sp._2	0010011
Hierodula_zhangi	0010000
Hierodulella_sp.	0000010
Humbertiella_nada	0000010
Humbertiella_nada_2	0000010
Hymenopus_coronatoides	0000010
Hymenopus_coronatus	0000010
Idolomantis_diabolica	0001000
Idolomorpha_lateralis	0001000
Iris_polystictica	0010000
Leptomantella_albella	0000010
Leptomantella_lactea	0000010
Leptomantella_sp.	0010010
Leptomantella_tonkinae	0010010
Majangella_moultoni	0000010
Mantis_religiosa	1011010
Mekongomantis_quinquespinosa	0000010
Mesopteryx_alata	0010010
Mesopteryx_alata_2	0010010
Metallyticus_sp.	0000010
Metallyticus_splendidus	0000010
Miomantis_caffra	1001001
Miromantis_sp.	0000010
Miromantis_yunnanensis	0000010
Neodanuria_bolauana	0001000
Odontomantis_sp.	0010010
Orthodera_ministralis	0000001
Otomantis_scutigera	0001000
Otomantis_sp.	0001000
Pachymantis_bicingulata	0000010
Panurgica_fratercula	0001000
Parablepharis_kuhlii	0000010
Parablepharis_kuhlii_asiatica	0000010
Parasphendale_agrionina	0001000
Paratoxodera_gigliotosi	0000010
Paratoxodera_polyacantha	0000010
Parymenopus_davisoni	0000010
Phyllocrania_paradoxa	0001100
Phyllothelys_breve	0010010
Phyllothelys_breve_2	0010010
Phyllothelys_shaanxiense	0010000
Phyllothelys_sinensis	0010000
Phyllothelys_sp.	0010010
Phyllothelys_werneri	0010010
Pliacanthopus_bimaculatus	0010000
Plistospilota_sp.	0001000
Pnigomantis_medioconstricta	0000010
Polyspilota_griffinii	0001000
Popa_spurca	0001100
Prohierodula_picta	0001000
Prohierodula_sp.	0001000
Pseudacanthops_lobipes	0100000
Pseudempusa_pinnapavonis	0010010
Pseudempusa_pinnapavonis_2	0010010
Pseudocreobotra_wahlbergii	0001000
Pseudogalepsus_sp.	0001000
Pseudovates_chlorophaea	1100000
Pseudovates_peruviana	0100000
Pseudoyersinia_betancuriae	0010000
Psychomantis_borneensis	0000010
Raptrix_fusca	0100000
Rhombodera_brachynota	0010010
Rhombodera_latipronotum	0010010
Rhombodera_longa	0010010
Rhombodera_sp.	0010011
Rhombodera_valida	0010010
Rivetina_baetica	0010000
Sceptuchus_simplex	0000010
Schizocephala_bicornis	0000010
